================ Training Loss (Sat Dec  3 21:31:58 2022) ================
(epoch: 24, iters: 368, time: 0.031, data: 0.004) G_GAN: 1.544 G_L1: 33.172 D_real: 0.997 D_fake: 0.091 
(epoch: 24, iters: 768, time: 0.024, data: 0.003) G_GAN: 1.204 G_L1: 33.553 D_real: 0.187 D_fake: 0.652 
(epoch: 25, iters: 384, time: 0.027, data: 0.004) G_GAN: 2.776 G_L1: 31.283 D_real: 0.098 D_fake: 1.205 
(epoch: 25, iters: 784, time: 0.022, data: 0.004) G_GAN: 1.356 G_L1: 32.710 D_real: 0.565 D_fake: 0.116 
(epoch: 26, iters: 400, time: 0.026, data: 0.251) G_GAN: 2.265 G_L1: 33.448 D_real: 0.314 D_fake: 0.497 
(epoch: 27, iters: 16, time: 0.016, data: 0.003) G_GAN: 2.429 G_L1: 35.242 D_real: 0.087 D_fake: 1.404 
(epoch: 27, iters: 416, time: 0.024, data: 0.004) G_GAN: 0.989 G_L1: 36.085 D_real: 0.509 D_fake: 0.171 
(epoch: 28, iters: 32, time: 0.027, data: 0.003) G_GAN: 2.057 G_L1: 32.665 D_real: 0.118 D_fake: 0.160 
(epoch: 28, iters: 432, time: 0.024, data: 0.003) G_GAN: 2.266 G_L1: 39.167 D_real: 0.014 D_fake: 0.633 
(epoch: 29, iters: 48, time: 0.027, data: 0.003) G_GAN: 2.933 G_L1: 32.817 D_real: 0.026 D_fake: 0.260 
(epoch: 29, iters: 448, time: 0.024, data: 0.004) G_GAN: 1.513 G_L1: 34.386 D_real: 0.936 D_fake: 0.126 
(epoch: 30, iters: 64, time: 0.027, data: 0.004) G_GAN: 0.443 G_L1: 40.695 D_real: 1.154 D_fake: 0.211 
(epoch: 30, iters: 464, time: 0.024, data: 0.004) G_GAN: 3.373 G_L1: 38.915 D_real: 0.058 D_fake: 0.089 
(epoch: 31, iters: 80, time: 0.035, data: 0.003) G_GAN: 2.467 G_L1: 34.023 D_real: 0.079 D_fake: 0.420 
(epoch: 31, iters: 480, time: 0.027, data: 0.002) G_GAN: 1.207 G_L1: 30.227 D_real: 0.349 D_fake: 0.130 
(epoch: 32, iters: 96, time: 0.032, data: 0.003) G_GAN: 2.615 G_L1: 30.504 D_real: 0.012 D_fake: 0.656 
(epoch: 32, iters: 496, time: 0.027, data: 0.002) G_GAN: 1.820 G_L1: 34.642 D_real: 0.581 D_fake: 0.396 
(epoch: 33, iters: 112, time: 0.028, data: 0.003) G_GAN: 1.431 G_L1: 32.467 D_real: 0.585 D_fake: 0.079 
(epoch: 33, iters: 512, time: 0.024, data: 0.002) G_GAN: 1.443 G_L1: 35.719 D_real: 0.259 D_fake: 0.352 
(epoch: 34, iters: 128, time: 0.027, data: 0.003) G_GAN: 3.575 G_L1: 39.890 D_real: 0.058 D_fake: 0.036 
(epoch: 34, iters: 528, time: 0.026, data: 0.003) G_GAN: 1.174 G_L1: 34.846 D_real: 0.394 D_fake: 0.818 
(epoch: 35, iters: 144, time: 0.030, data: 0.003) G_GAN: 2.882 G_L1: 38.873 D_real: 0.009 D_fake: 0.411 
(epoch: 35, iters: 544, time: 0.024, data: 0.002) G_GAN: 1.987 G_L1: 32.708 D_real: 0.082 D_fake: 0.866 
(epoch: 36, iters: 160, time: 0.028, data: 0.003) G_GAN: 1.914 G_L1: 30.807 D_real: 0.028 D_fake: 0.875 
(epoch: 36, iters: 560, time: 0.030, data: 0.003) G_GAN: 2.901 G_L1: 31.845 D_real: 0.014 D_fake: 0.362 
(epoch: 37, iters: 176, time: 0.032, data: 0.003) G_GAN: 1.498 G_L1: 31.225 D_real: 1.042 D_fake: 0.059 
(epoch: 37, iters: 576, time: 0.024, data: 0.003) G_GAN: 2.704 G_L1: 38.270 D_real: 0.073 D_fake: 0.186 
(epoch: 38, iters: 192, time: 0.028, data: 0.003) G_GAN: 2.068 G_L1: 32.284 D_real: 0.537 D_fake: 0.066 
(epoch: 38, iters: 592, time: 0.027, data: 0.003) G_GAN: 1.697 G_L1: 37.224 D_real: 0.326 D_fake: 0.260 
(epoch: 39, iters: 208, time: 0.033, data: 0.003) G_GAN: 1.969 G_L1: 34.615 D_real: 0.359 D_fake: 0.577 
(epoch: 39, iters: 608, time: 0.025, data: 0.004) G_GAN: 2.009 G_L1: 37.099 D_real: 0.058 D_fake: 0.547 
(epoch: 40, iters: 224, time: 0.029, data: 0.003) G_GAN: 1.179 G_L1: 33.781 D_real: 1.666 D_fake: 0.040 
(epoch: 40, iters: 624, time: 0.024, data: 0.004) G_GAN: 1.887 G_L1: 30.867 D_real: 0.157 D_fake: 0.367 
(epoch: 41, iters: 240, time: 0.028, data: 0.003) G_GAN: 1.873 G_L1: 30.421 D_real: 0.295 D_fake: 0.365 
(epoch: 41, iters: 640, time: 0.030, data: 0.003) G_GAN: 0.756 G_L1: 34.340 D_real: 0.766 D_fake: 0.294 
(epoch: 42, iters: 256, time: 0.028, data: 0.003) G_GAN: 1.537 G_L1: 36.855 D_real: 0.327 D_fake: 0.693 
(epoch: 42, iters: 656, time: 0.026, data: 0.003) G_GAN: 0.872 G_L1: 37.282 D_real: 0.830 D_fake: 0.189 
(epoch: 43, iters: 272, time: 0.028, data: 0.003) G_GAN: 0.948 G_L1: 36.572 D_real: 0.502 D_fake: 0.944 
(epoch: 43, iters: 672, time: 0.024, data: 0.003) G_GAN: 2.375 G_L1: 38.033 D_real: 0.260 D_fake: 0.169 
(epoch: 44, iters: 288, time: 0.028, data: 0.003) G_GAN: 2.424 G_L1: 31.606 D_real: 0.054 D_fake: 0.658 
(epoch: 44, iters: 688, time: 0.024, data: 0.003) G_GAN: 1.063 G_L1: 38.707 D_real: 0.801 D_fake: 0.264 
(epoch: 45, iters: 304, time: 0.029, data: 0.003) G_GAN: 1.611 G_L1: 34.601 D_real: 0.107 D_fake: 1.267 
(epoch: 45, iters: 704, time: 0.024, data: 0.003) G_GAN: 1.622 G_L1: 38.471 D_real: 0.226 D_fake: 0.482 
(epoch: 46, iters: 320, time: 0.030, data: 0.003) G_GAN: 3.120 G_L1: 33.210 D_real: 0.181 D_fake: 0.087 
(epoch: 46, iters: 720, time: 0.033, data: 0.004) G_GAN: 1.368 G_L1: 32.753 D_real: 0.190 D_fake: 0.445 
(epoch: 47, iters: 336, time: 0.028, data: 0.003) G_GAN: 1.190 G_L1: 35.271 D_real: 3.523 D_fake: 0.087 
(epoch: 47, iters: 736, time: 0.024, data: 0.003) G_GAN: 1.469 G_L1: 34.621 D_real: 0.027 D_fake: 0.509 
(epoch: 48, iters: 352, time: 0.028, data: 0.003) G_GAN: 0.453 G_L1: 34.710 D_real: 2.359 D_fake: 0.175 
(epoch: 48, iters: 752, time: 0.024, data: 0.003) G_GAN: 2.170 G_L1: 39.416 D_real: 0.167 D_fake: 0.114 
(epoch: 49, iters: 368, time: 0.031, data: 0.003) G_GAN: 2.350 G_L1: 43.475 D_real: 0.066 D_fake: 0.448 
(epoch: 49, iters: 768, time: 0.026, data: 0.003) G_GAN: 1.152 G_L1: 34.726 D_real: 1.039 D_fake: 0.222 
(epoch: 50, iters: 384, time: 0.029, data: 0.003) G_GAN: 1.308 G_L1: 40.197 D_real: 0.090 D_fake: 0.252 
(epoch: 50, iters: 784, time: 0.018, data: 0.003) G_GAN: 1.706 G_L1: 33.560 D_real: 0.002 D_fake: 0.947 
(epoch: 51, iters: 400, time: 0.029, data: 0.244) G_GAN: 2.805 G_L1: 35.459 D_real: 0.020 D_fake: 0.624 
(epoch: 52, iters: 16, time: 0.018, data: 0.003) G_GAN: 3.327 G_L1: 41.640 D_real: 0.114 D_fake: 0.147 
(epoch: 52, iters: 416, time: 0.024, data: 0.005) G_GAN: 2.313 G_L1: 33.875 D_real: 0.067 D_fake: 0.225 
(epoch: 53, iters: 32, time: 0.033, data: 0.003) G_GAN: 2.203 G_L1: 36.058 D_real: 0.060 D_fake: 0.564 
(epoch: 53, iters: 432, time: 0.024, data: 0.003) G_GAN: 1.648 G_L1: 30.109 D_real: 0.054 D_fake: 0.786 
(epoch: 54, iters: 48, time: 0.029, data: 0.003) G_GAN: 1.480 G_L1: 27.013 D_real: 0.385 D_fake: 0.356 
(epoch: 54, iters: 448, time: 0.029, data: 0.003) G_GAN: 0.479 G_L1: 27.885 D_real: 1.412 D_fake: 0.817 
(epoch: 55, iters: 64, time: 0.029, data: 0.003) G_GAN: 1.801 G_L1: 29.216 D_real: 0.038 D_fake: 0.512 
(epoch: 55, iters: 464, time: 0.024, data: 0.005) G_GAN: 0.896 G_L1: 31.892 D_real: 0.713 D_fake: 0.168 
(epoch: 56, iters: 80, time: 0.029, data: 0.003) G_GAN: 1.412 G_L1: 32.204 D_real: 0.080 D_fake: 1.276 
(epoch: 56, iters: 480, time: 0.024, data: 0.002) G_GAN: 1.159 G_L1: 33.633 D_real: 0.419 D_fake: 0.338 
(epoch: 57, iters: 96, time: 0.029, data: 0.003) G_GAN: 0.715 G_L1: 32.938 D_real: 1.151 D_fake: 0.133 
(epoch: 57, iters: 496, time: 0.024, data: 0.003) G_GAN: 2.721 G_L1: 33.993 D_real: 0.229 D_fake: 0.251 
(epoch: 58, iters: 112, time: 0.029, data: 0.003) G_GAN: 1.055 G_L1: 34.946 D_real: 2.734 D_fake: 0.134 
(epoch: 58, iters: 512, time: 0.024, data: 0.002) G_GAN: 0.452 G_L1: 29.941 D_real: 2.757 D_fake: 0.132 
(epoch: 59, iters: 128, time: 0.032, data: 0.003) G_GAN: 0.916 G_L1: 32.435 D_real: 0.256 D_fake: 0.323 
(epoch: 59, iters: 528, time: 0.029, data: 0.004) G_GAN: 2.192 G_L1: 33.786 D_real: 0.278 D_fake: 0.612 
(epoch: 60, iters: 144, time: 0.029, data: 0.003) G_GAN: 2.052 G_L1: 38.211 D_real: 0.085 D_fake: 0.230 
(epoch: 60, iters: 544, time: 0.024, data: 0.003) G_GAN: 0.266 G_L1: 36.991 D_real: 1.453 D_fake: 0.414 
(epoch: 61, iters: 160, time: 0.030, data: 0.003) G_GAN: 1.051 G_L1: 37.582 D_real: 0.416 D_fake: 0.963 
(epoch: 61, iters: 560, time: 0.024, data: 0.003) G_GAN: 1.052 G_L1: 32.254 D_real: 0.416 D_fake: 0.522 
(epoch: 62, iters: 176, time: 0.030, data: 0.003) G_GAN: 1.581 G_L1: 31.794 D_real: 0.136 D_fake: 1.418 
(epoch: 62, iters: 576, time: 0.024, data: 0.003) G_GAN: 1.960 G_L1: 32.843 D_real: 0.268 D_fake: 0.882 
(epoch: 63, iters: 192, time: 0.029, data: 0.003) G_GAN: 1.675 G_L1: 34.964 D_real: 0.149 D_fake: 0.619 
(epoch: 63, iters: 592, time: 0.024, data: 0.003) G_GAN: 0.347 G_L1: 38.300 D_real: 1.569 D_fake: 0.212 
(epoch: 64, iters: 208, time: 0.030, data: 0.003) G_GAN: 1.440 G_L1: 37.217 D_real: 0.459 D_fake: 0.211 
(epoch: 64, iters: 608, time: 0.031, data: 0.003) G_GAN: 1.301 G_L1: 29.209 D_real: 0.836 D_fake: 0.255 
(epoch: 65, iters: 224, time: 0.030, data: 0.003) G_GAN: 1.951 G_L1: 34.286 D_real: 0.286 D_fake: 0.175 
(epoch: 65, iters: 624, time: 0.024, data: 0.003) G_GAN: 0.664 G_L1: 29.901 D_real: 1.070 D_fake: 0.473 
(epoch: 66, iters: 240, time: 0.031, data: 0.003) G_GAN: 1.587 G_L1: 40.142 D_real: 0.068 D_fake: 0.722 
(epoch: 66, iters: 640, time: 0.024, data: 0.003) G_GAN: 2.680 G_L1: 28.451 D_real: 0.083 D_fake: 0.282 
(epoch: 67, iters: 256, time: 0.030, data: 0.003) G_GAN: 1.885 G_L1: 40.157 D_real: 0.215 D_fake: 0.325 
(epoch: 67, iters: 656, time: 0.024, data: 0.003) G_GAN: 1.811 G_L1: 36.116 D_real: 0.059 D_fake: 0.635 
(epoch: 68, iters: 272, time: 0.034, data: 0.003) G_GAN: 0.355 G_L1: 33.695 D_real: 1.386 D_fake: 1.408 
(epoch: 68, iters: 672, time: 0.024, data: 0.003) G_GAN: 1.610 G_L1: 25.971 D_real: 0.232 D_fake: 0.586 
(epoch: 69, iters: 288, time: 0.033, data: 0.003) G_GAN: 2.099 G_L1: 36.394 D_real: 0.215 D_fake: 0.303 
(epoch: 69, iters: 688, time: 0.030, data: 0.003) G_GAN: 1.744 G_L1: 35.653 D_real: 0.196 D_fake: 0.649 
(epoch: 70, iters: 304, time: 0.030, data: 0.003) G_GAN: 1.116 G_L1: 27.774 D_real: 0.516 D_fake: 0.217 
(epoch: 70, iters: 704, time: 0.027, data: 0.003) G_GAN: 1.899 G_L1: 40.071 D_real: 0.003 D_fake: 0.641 
