================ Training Loss (Sat Dec  3 19:48:15 2022) ================
================ Training Loss (Sat Dec  3 20:18:01 2022) ================
(epoch: 24, iters: 368, time: 0.025, data: 0.003) G_GAN: 2.905 G_L1: 37.438 D_real: 0.008 D_fake: 0.130 
(epoch: 24, iters: 768, time: 0.021, data: 0.003) G_GAN: 2.539 G_L1: 30.977 D_real: 0.099 D_fake: 0.045 
(epoch: 25, iters: 384, time: 0.025, data: 0.003) G_GAN: 3.595 G_L1: 35.692 D_real: 0.317 D_fake: 0.021 
(epoch: 25, iters: 784, time: 0.016, data: 0.003) G_GAN: 4.248 G_L1: 44.048 D_real: 0.002 D_fake: 1.388 
(epoch: 26, iters: 400, time: 0.025, data: 0.183) G_GAN: 0.307 G_L1: 33.444 D_real: 0.655 D_fake: 0.150 
(epoch: 27, iters: 16, time: 0.016, data: 0.004) G_GAN: 0.566 G_L1: 36.282 D_real: 1.029 D_fake: 0.124 
(epoch: 27, iters: 416, time: 0.021, data: 0.004) G_GAN: 2.162 G_L1: 37.282 D_real: 0.582 D_fake: 0.973 
(epoch: 28, iters: 32, time: 0.024, data: 0.003) G_GAN: 2.690 G_L1: 34.616 D_real: 0.041 D_fake: 0.518 
(epoch: 28, iters: 432, time: 0.021, data: 0.002) G_GAN: 2.998 G_L1: 31.051 D_real: 0.328 D_fake: 0.079 
(epoch: 29, iters: 48, time: 0.024, data: 0.003) G_GAN: 2.273 G_L1: 32.786 D_real: 0.252 D_fake: 0.111 
(epoch: 29, iters: 448, time: 0.023, data: 0.003) G_GAN: 0.637 G_L1: 32.852 D_real: 0.864 D_fake: 0.121 
(epoch: 30, iters: 64, time: 0.025, data: 0.003) G_GAN: 2.178 G_L1: 34.001 D_real: 0.279 D_fake: 0.070 
(epoch: 30, iters: 464, time: 0.021, data: 0.004) G_GAN: 2.568 G_L1: 33.687 D_real: 0.010 D_fake: 0.372 
(epoch: 31, iters: 80, time: 0.027, data: 0.003) G_GAN: 3.472 G_L1: 32.514 D_real: 0.229 D_fake: 0.034 
(epoch: 31, iters: 480, time: 0.025, data: 0.002) G_GAN: 2.106 G_L1: 37.006 D_real: 0.046 D_fake: 0.494 
(epoch: 32, iters: 96, time: 0.025, data: 0.003) G_GAN: 2.531 G_L1: 39.542 D_real: 0.009 D_fake: 0.333 
(epoch: 32, iters: 496, time: 0.021, data: 0.002) G_GAN: 3.639 G_L1: 32.305 D_real: 0.097 D_fake: 0.142 
(epoch: 33, iters: 112, time: 0.025, data: 0.003) G_GAN: 2.213 G_L1: 30.298 D_real: 0.322 D_fake: 0.454 
(epoch: 33, iters: 512, time: 0.021, data: 0.002) G_GAN: 2.286 G_L1: 34.623 D_real: 0.028 D_fake: 0.333 
(epoch: 34, iters: 128, time: 0.025, data: 0.003) G_GAN: 0.664 G_L1: 38.221 D_real: 1.265 D_fake: 0.205 
(epoch: 34, iters: 528, time: 0.021, data: 0.003) G_GAN: 2.700 G_L1: 38.688 D_real: 0.078 D_fake: 0.344 
(epoch: 35, iters: 144, time: 0.025, data: 0.003) G_GAN: 2.344 G_L1: 31.832 D_real: 0.377 D_fake: 0.219 
(epoch: 35, iters: 544, time: 0.021, data: 0.002) G_GAN: 1.874 G_L1: 40.324 D_real: 0.598 D_fake: 0.103 
(epoch: 36, iters: 160, time: 0.025, data: 0.003) G_GAN: 0.883 G_L1: 34.911 D_real: 0.664 D_fake: 0.537 
(epoch: 36, iters: 560, time: 0.026, data: 0.004) G_GAN: 3.774 G_L1: 37.092 D_real: 0.028 D_fake: 0.069 
(epoch: 37, iters: 176, time: 0.025, data: 0.003) G_GAN: 2.653 G_L1: 35.834 D_real: 0.250 D_fake: 0.201 
(epoch: 37, iters: 576, time: 0.021, data: 0.003) G_GAN: 2.239 G_L1: 43.116 D_real: 0.008 D_fake: 0.765 
(epoch: 38, iters: 192, time: 0.025, data: 0.003) G_GAN: 2.415 G_L1: 37.177 D_real: 0.083 D_fake: 0.789 
(epoch: 38, iters: 592, time: 0.021, data: 0.003) G_GAN: 1.771 G_L1: 40.131 D_real: 0.200 D_fake: 0.514 
(epoch: 39, iters: 208, time: 0.026, data: 0.003) G_GAN: 1.631 G_L1: 30.190 D_real: 2.736 D_fake: 0.059 
(epoch: 39, iters: 608, time: 0.025, data: 0.003) G_GAN: 1.154 G_L1: 35.299 D_real: 0.758 D_fake: 0.062 
(epoch: 40, iters: 224, time: 0.028, data: 0.003) G_GAN: 2.236 G_L1: 35.257 D_real: 0.434 D_fake: 0.097 
(epoch: 40, iters: 624, time: 0.024, data: 0.003) G_GAN: 1.878 G_L1: 30.784 D_real: 0.540 D_fake: 0.058 
(epoch: 41, iters: 240, time: 0.027, data: 0.005) G_GAN: 0.568 G_L1: 34.324 D_real: 1.039 D_fake: 0.111 
(epoch: 41, iters: 640, time: 0.026, data: 0.005) G_GAN: 2.890 G_L1: 35.431 D_real: 0.041 D_fake: 1.090 
(epoch: 42, iters: 256, time: 0.027, data: 0.003) G_GAN: 0.568 G_L1: 31.287 D_real: 1.264 D_fake: 0.124 
(epoch: 42, iters: 656, time: 0.022, data: 0.003) G_GAN: 2.399 G_L1: 37.320 D_real: 0.011 D_fake: 0.793 
(epoch: 43, iters: 272, time: 0.025, data: 0.003) G_GAN: 0.625 G_L1: 29.061 D_real: 0.671 D_fake: 0.440 
(epoch: 43, iters: 672, time: 0.022, data: 0.003) G_GAN: 1.727 G_L1: 34.074 D_real: 0.001 D_fake: 0.877 
(epoch: 44, iters: 288, time: 0.026, data: 0.003) G_GAN: 2.753 G_L1: 40.012 D_real: 0.011 D_fake: 0.295 
(epoch: 44, iters: 688, time: 0.021, data: 0.003) G_GAN: 0.521 G_L1: 30.915 D_real: 0.640 D_fake: 0.588 
(epoch: 45, iters: 304, time: 0.026, data: 0.003) G_GAN: 2.362 G_L1: 29.398 D_real: 0.004 D_fake: 0.649 
(epoch: 45, iters: 704, time: 0.021, data: 0.003) G_GAN: 2.428 G_L1: 34.421 D_real: 0.004 D_fake: 1.865 
(epoch: 46, iters: 320, time: 0.026, data: 0.003) G_GAN: 1.330 G_L1: 28.262 D_real: 0.357 D_fake: 0.109 
(epoch: 46, iters: 720, time: 0.029, data: 0.004) G_GAN: 1.028 G_L1: 36.456 D_real: 0.335 D_fake: 0.249 
(epoch: 47, iters: 336, time: 0.026, data: 0.003) G_GAN: 2.714 G_L1: 32.258 D_real: 0.289 D_fake: 0.083 
(epoch: 47, iters: 736, time: 0.021, data: 0.003) G_GAN: 1.042 G_L1: 32.099 D_real: 1.118 D_fake: 0.099 
(epoch: 48, iters: 352, time: 0.026, data: 0.003) G_GAN: 1.421 G_L1: 30.454 D_real: 0.849 D_fake: 0.104 
(epoch: 48, iters: 752, time: 0.021, data: 0.003) G_GAN: 1.798 G_L1: 31.907 D_real: 0.013 D_fake: 0.717 
(epoch: 49, iters: 368, time: 0.027, data: 0.003) G_GAN: 2.964 G_L1: 33.243 D_real: 0.036 D_fake: 0.286 
(epoch: 49, iters: 768, time: 0.021, data: 0.003) G_GAN: 0.973 G_L1: 30.841 D_real: 2.089 D_fake: 0.039 
(epoch: 50, iters: 384, time: 0.027, data: 0.003) G_GAN: 2.813 G_L1: 40.986 D_real: 0.004 D_fake: 0.225 
(epoch: 50, iters: 784, time: 0.016, data: 0.003) G_GAN: 0.816 G_L1: 29.988 D_real: 0.620 D_fake: 0.337 
(epoch: 51, iters: 400, time: 0.027, data: 0.206) G_GAN: 2.000 G_L1: 32.690 D_real: 0.307 D_fake: 2.143 
(epoch: 52, iters: 16, time: 0.018, data: 0.003) G_GAN: 0.589 G_L1: 29.935 D_real: 1.635 D_fake: 0.149 
(epoch: 52, iters: 416, time: 0.021, data: 0.005) G_GAN: 3.312 G_L1: 34.712 D_real: 0.240 D_fake: 0.092 
(epoch: 53, iters: 32, time: 0.027, data: 0.003) G_GAN: 2.054 G_L1: 29.420 D_real: 0.059 D_fake: 0.143 
(epoch: 53, iters: 432, time: 0.021, data: 0.002) G_GAN: 2.175 G_L1: 34.374 D_real: 1.444 D_fake: 0.048 
(epoch: 54, iters: 48, time: 0.027, data: 0.003) G_GAN: 2.938 G_L1: 39.147 D_real: 0.022 D_fake: 0.148 
(epoch: 54, iters: 448, time: 0.026, data: 0.003) G_GAN: 1.888 G_L1: 38.552 D_real: 0.005 D_fake: 0.816 
(epoch: 55, iters: 64, time: 0.026, data: 0.003) G_GAN: 2.209 G_L1: 34.268 D_real: 0.029 D_fake: 0.190 
(epoch: 55, iters: 464, time: 0.021, data: 0.005) G_GAN: 1.236 G_L1: 36.932 D_real: 0.436 D_fake: 0.396 
(epoch: 56, iters: 80, time: 0.027, data: 0.003) G_GAN: 2.451 G_L1: 37.480 D_real: 0.006 D_fake: 0.263 
(epoch: 56, iters: 480, time: 0.023, data: 0.002) G_GAN: 0.545 G_L1: 31.565 D_real: 2.742 D_fake: 0.206 
(epoch: 57, iters: 96, time: 0.028, data: 0.003) G_GAN: 1.887 G_L1: 28.627 D_real: 2.307 D_fake: 0.038 
(epoch: 57, iters: 496, time: 0.022, data: 0.002) G_GAN: 2.639 G_L1: 34.559 D_real: 0.010 D_fake: 0.521 
(epoch: 58, iters: 112, time: 0.027, data: 0.003) G_GAN: 0.250 G_L1: 33.273 D_real: 1.023 D_fake: 0.172 
(epoch: 58, iters: 512, time: 0.021, data: 0.002) G_GAN: 2.444 G_L1: 43.823 D_real: 0.045 D_fake: 0.214 
(epoch: 59, iters: 128, time: 0.032, data: 0.003) G_GAN: 2.651 G_L1: 30.263 D_real: 0.121 D_fake: 0.345 
